CPT Code,Description of Information of CPTCode
J0875,"Injection, dalbavancin, 5 mg"
J0878,"Injection, daptomycin, 1 mg"
J0881,"Injection, darbepoetin alfa, 1 microgram (non-esrd use)"
J0882,"Injection, darbepoetin alfa, 1 microgram (for esrd on dialysis)"
J0883,"Injection, argatroban, 1 mg (for non-esrd use)"
J0884,"Injection, argatroban, 1 mg (for esrd on dialysis)"
J0885,"Injection, epoetin alfa, (for non-esrd use), 1000 units"
J0887,"Injection, epoetin beta, 1 microgram, (for esrd on dialysis)"
J0888,"Injection, epoetin beta, 1 microgram, (for non esrd use)"
J0890,"Injection, peginesatide, 0.1 mg (for esrd on dialysis)"
J0894,"Injection, decitabine, 1 mg"
J0895,"Injection, deferoxamine mesylate, 500 mg"
J0896,"Injection, luspatercept-aamt, 0.25 mg"
J0897,"Injection, denosumab, 1 mg"
J0945,"Injection, brompheniramine maleate, per 10 mg"
J1000,"Injection, depo-estradiol cypionate, up to 5 mg"
J1020,"Injection, methylprednisolone acetate, 20 mg"
J1030,"Injection, methylprednisolone acetate, 40 mg"
J1040,"Injection, methylprednisolone acetate, 80 mg"
J1050,"Injection, medroxyprogesterone acetate, 1 mg"
J1071,"Injection, testosterone cypionate, 1 mg"
J1094,"Injection, dexamethasone acetate, 1 mg"
J1095,"Injection, dexamethasone 9 percent, intraocular, 1 microgram"
J1096,"Dexamethasone, lacrimal ophthalmic insert, 0.1 mg"
J1097,"Phenylephrine 10.16 mg/ml and ketorolac 2.88 mg/ml ophthalmic irrigation solution, 1 ml"
J1100,"Injection, dexamethasone sodium phosphate, 1 mg"
J1110,"Injection, dihydroergotamine mesylate, per 1 mg"
J1120,"Injection, acetazolamide sodium, up to 500 mg"
J1130,"Injection, diclofenac sodium, 0.5 mg"
J1160,"Injection, digoxin, up to 0.5 mg"
J1162,"Injection, digoxin immune fab (ovine), per vial"
J1165,"Injection, phenytoin sodium, per 50 mg"
J1170,"Injection, hydromorphone, up to 4 mg"
J1180,"Injection, dyphylline, up to 500 mg"
J1190,"Injection, dexrazoxane hydrochloride, per 250 mg"
J1200,"Injection, diphenhydramine hcl, up to 50 mg"
J1201,"Injection, cetirizine hydrochloride, 0.5 mg"
J1205,"Injection, chlorothiazide sodium, per 500 mg"
J1212,"Injection, dmso, dimethyl sulfoxide, 50%, 50 ml"
J1230,"Injection, methadone hcl, up to 10 mg"
J1240,"Injection, dimenhydrinate, up to 50 mg"
J1245,"Injection, dipyridamole, per 10 mg"
J1250,"Injection, dobutamine hydrochloride, per 250 mg"
J1260,"Injection, dolasetron mesylate, 10 mg"
J1265,"Injection, dopamine hcl, 40 mg"
J1267,"Injection, doripenem, 10 mg"
J1270,"Injection, doxercalciferol, 1 mcg"
J1290,"Injection, ecallantide, 1 mg"
J1300,"Injection, eculizumab, 10 mg"
J1301,"Injection, edaravone, 1 mg"
J1303,"Injection, ravulizumab-cwvz, 10 mg"
J1320,"Injection, amitriptyline hcl, up to 20 mg"
J1322,"Injection, elosulfase alfa, 1 mg"
J1324,"Injection, enfuvirtide, 1 mg"
J1325,"Injection, epoprostenol, 0.5 mg"
J1327,"Injection, eptifibatide, 5 mg"
J1330,"Injection, ergonovine maleate, up to 0.2 mg"
J1335,"Injection, ertapenem sodium, 500 mg"
J1364,"Injection, erythromycin lactobionate, per 500 mg"
J1380,"Injection, estradiol valerate, up to 10 mg"
J1410,"Injection, estrogen conjugated, per 25 mg"
J1428,"Injection, eteplirsen, 10 mg"
J1430,"Injection, ethanolamine oleate, 100 mg"
J1436,"Injection, etidronate disodium, per 300 mg"
J1437,"Injection, ferric derisomaltose, 10 mg"
J1438,"Injection, etanercept, 25 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)"
J1439,"Injection, ferric carboxymaltose, 1 mg"
J1442,"Injection, filgrastim (g-csf), excludes biosimilars, 1 microgram"
J1443,"Injection, ferric pyrophosphate citrate solution (triferic), 0.1 mg of iron"
J1444,"Injection, ferric pyrophosphate citrate powder, 0.1 mg of iron"
J1447,"Injection, tbo-filgrastim, 1 microgram"
J1450,"Injection fluconazole, 200 mg"
J1451,"Injection, fomepizole, 15 mg"
J1452,"Injection, fomivirsen sodium, intraocular, 1.65 mg"
J1453,"Injection, fosaprepitant, 1 mg"
J1454,"Injection, fosnetupitant 235 mg and palonosetron 0.25 mg"
J1455,"Injection, foscarnet sodium, per 1000 mg"
J1457,"Injection, gallium nitrate, 1 mg"
J1458,"Injection, galsulfase, 1 mg"
J1459,"Injection, immune globulin (privigen), intravenous, non-lyophilized (e.g., liquid), 500 mg"
J1460,"Injection, gamma globulin, intramuscular, 1 cc"
J1555,"Injection, immune globulin (cuvitru), 100 mg"
J1556,"Injection, immune globulin (bivigam), 500 mg"
J1557,"Injection, immune globulin, (gammaplex), intravenous, non-lyophilized (e.g., liquid), 500 mg"
J1558,"Injection, immune globulin (xembify), 100 mg"
J1559,"Injection, immune globulin (hizentra), 100 mg"
J1560,"Injection, gamma globulin, intramuscular, over 10 cc"
J1561,"Injection, immune globulin, (gamunex-c/gammaked), non-lyophilized (e.g., liquid), 500 mg"
J1562,"Injection, immune globulin (vivaglobin), 100 mg"
J1566,"Injection, immune globulin, intravenous, lyophilized (e.g., powder), not otherwise specified, 500 mg"
J1568,"Injection, immune globulin, (octagam), intravenous, non-lyophilized (e.g., liquid), 500 mg"
J1569,"Injection, immune globulin, (gammagard liquid), non-lyophilized, (e.g., liquid), 500 mg"
J1570,"Injection, ganciclovir sodium, 500 mg"
J1571,"Injection, hepatitis b immune globulin (hepagam b), intramuscular, 0.5 ml"
J1572,"Injection, immune globulin, (flebogamma/flebogamma dif), intravenous, non-lyophilized (e.g., liquid), 500 mg"
J1573,"Injection, hepatitis b immune globulin (hepagam b), intravenous, 0.5 ml"
J1575,"Injection, immune globulin/hyaluronidase, (hyqvia), 100 mg immuneglobulin"
J1580,"Injection, garamycin, gentamicin, up to 80 mg"
J1595,"Injection, glatiramer acetate, 20 mg"
J1599,"Injection, immune globulin, intravenous, non-lyophilized (e.g., liquid), not otherwise specified, 500 mg"
J1600,"Injection, gold sodium thiomalate, up to 50 mg"
J1602,"Injection, golimumab, 1 mg, for intravenous use"
J1610,"Injection, glucagon hydrochloride, per 1 mg"
J1620,"Injection, gonadorelin hydrochloride, per 100 mcg"
J1626,"Injection, granisetron hydrochloride, 100 mcg"
J1627,"Injection, granisetron, extended-release, 0.1 mg"
J1628,"Injection, guselkumab, 1 mg"
J1630,"Injection, haloperidol, up to 5 mg"
J1631,"Injection, haloperidol decanoate, per 50 mg"
J1632,"Injection, brexanolone, 1 mg"
J1640,"Injection, hemin, 1 mg"
J1642,"Injection, heparin sodium, (heparin lock flush), per 10 units"
J1644,"Injection, heparin sodium, per 1000 units"
J1645,"Injection, dalteparin sodium, per 2500 iu"
J1650,"Injection, enoxaparin sodium, 10 mg"
J1652,"Injection, fondaparinux sodium, 0.5 mg"
J1655,"Injection, tinzaparin sodium, 1000 iu"
J1670,"Injection, tetanus immune globulin, human, up to 250 units"
J1675,"Injection, histrelin acetate, 10 micrograms"
